logged_at,action,balance,equity,position,price,pnl,reason,candle_open_time,prediction,probability_up,confidence
2026-05-11T06:27:03.635180+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:27:23.721357+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:27:43.845612+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:28:03.937707+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:28:24.047401+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:28:44.163212+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:29:04.290432+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:29:24.390126+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:29:44.483506+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:30:04.598881+00:00,CLOSE,99.96938048616948,99.96938048616948,UP,80968.76,0.002533791626786106,candle_closed,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:30:04.598881+00:00,OPEN,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,new_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:30:24.684225+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:30:44.796504+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:31:04.874387+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:31:24.949998+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:31:45.041426+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:32:05.121455+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:32:25.201666+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:32:45.348300+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:33:05.447855+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:33:25.523364+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
2026-05-11T06:33:45.614046+00:00,KEEP,99.96938048616948,99.96938048616948,DOWN,80968.76,0.0,same_signal,2026-05-11T06:25:00+00:00,DOWN,0.42916786599641343,0.5708321340035866
